Station_Id_C Year_Data Mon_Data Day_Data Hour_Data PRS PRS_Sea WIN_D WIN_S TEM RHU PRE_1h
59287 2015 12 29 0 1019.3000 1028.0000 8.0000 1.4000 13.1000 76.0000 0.0000 
59287 2015 12 29 3 1019.4000 1028.1000 24.0000 2.8000 15.8000 71.0000 0.0000 
59287 2015 12 29 6 1016.7000 1025.3000 0.0000 3.8000 16.6000 70.0000 0.0000 
59287 2015 12 29 9 1016.4000 1025.1000 7.0000 3.5000 14.3000 75.0000 0.0000 
59287 2015 12 29 12 1018.1000 1026.8000 357.0000 5.1000 12.6000 83.0000 0.0000 
59287 2015 12 29 15 1018.6000 1027.3000 21.0000 2.7000 11.7000 89.0000 0.1000 
59287 2015 12 29 18 1017.4000 1026.1000 340.0000 3.3000 11.2000 92.0000 0.8000 
59287 2015 12 29 21 1017.7000 1026.4000 2.0000 3.3000 10.7000 92.0000 0.3000 
59287 2015 12 30 0 1018.6000 1027.4000 3.0000 3.5000 10.9000 92.0000 0.0000 
59287 2015 12 30 3 1019.4000 1028.2000 3.0000 3.5000 13.3000 82.0000 0.0000 
59287 2015 12 30 6 1016.4000 1025.1000 358.0000 3.0000 17.0000 68.0000 0.0000 
59287 2015 12 30 9 1016.3000 1025.0000 13.0000 2.9000 15.2000 75.0000 0.0000 
59287 2015 12 30 12 1018.0000 1026.7000 0.0000 4.3000 14.1000 76.0000 0.0000 
59287 2015 12 30 15 1019.3000 1028.0000 341.0000 3.6000 13.2000 79.0000 0.0000 
59287 2015 12 30 18 1018.5000 1027.2000 359.0000 3.7000 12.8000 79.0000 0.0000 
59287 2015 12 30 21 1018.2000 1026.9000 9.0000 3.4000 12.6000 75.0000 0.0000 
59287 2015 12 31 0 1020.1000 1028.8000 5.0000 4.6000 12.7000 72.0000 0.0000 
59287 2015 12 31 3 1020.8000 1029.5000 4.0000 3.8000 15.9000 62.0000 0.0000 
59287 2015 12 31 6 1017.6000 1026.2000 7.0000 3.0000 18.7000 54.0000 0.0000 
59287 2015 12 31 9 1017.1000 1025.8000 336.0000 2.6000 17.6000 60.0000 0.0000 
59287 2015 12 31 12 1018.7000 1027.4000 336.0000 2.0000 14.5000 82.0000 0.0000 
59287 2015 12 31 15 1019.4000 1028.1000 14.0000 1.8000 15.5000 71.0000 0.0000 
59287 2015 12 31 18 1018.7000 1027.4000 309.0000 1.4000 12.7000 85.0000 0.0000 
59287 2015 12 31 21 1017.9000 1026.6000 0.0000 1.4000 11.2000 88.0000 0.0000 
59287 2016 1 1 0 1019.2000 1027.9000 350.0000 2.3000 11.7000 87.0000 0.0000 
59287 2016 1 1 3 1020.0000 1028.6000 356.0000 1.5000 18.3000 59.0000 0.0000 
59287 2016 1 1 6 1016.5000 1025.1000 5.0000 2.4000 20.3000 56.0000 0.0000 
59287 2016 1 1 9 1016.0000 1024.6000 306.0000 2.4000 20.0000 55.0000 0.0000 
59287 2016 1 1 12 1017.2000 1025.9000 10.0000 2.0000 14.0000 89.0000 0.0000 
59287 2016 1 1 15 1017.0000 1025.6000 348.0000 1.5000 13.4000 89.0000 0.0000 
59287 2016 1 1 18 1015.7000 1024.3000 323.0000 1.7000 12.3000 91.0000 0.0000 
59287 2016 1 1 21 1014.3000 1022.9000 340.0000 2.0000 12.8000 89.0000 0.0000 
59287 2016 1 2 0 1015.8000 1024.5000 313.0000 1.3000 13.6000 88.0000 0.0000 
59287 2016 1 2 3 1015.8000 1024.4000 2.0000 3.2000 19.9000 64.0000 0.0000 
59287 2016 1 2 6 1011.9000 1020.4000 35.0000 1.5000 23.4000 49.0000 0.0000 
59287 2016 1 2 9 1011.1000 1019.6000 113.0000 1.0000 22.8000 52.0000 0.0000 
59287 2016 1 2 12 1012.6000 1021.2000 348.0000 1.3000 18.2000 84.0000 0.0000 
59287 2016 1 2 15 1012.9000 1021.4000 317.0000 0.8000 18.1000 85.0000 0.0000 
59287 2016 1 2 18 1011.7000 1020.2000 26.0000 1.1000 17.5000 88.0000 0.0000 
59287 2016 1 2 21 1010.5000 1018.9000 325.0000 0.9000 17.7000 89.0000 0.0000 
59287 2016 1 3 0 1012.6000 1021.1000 339.0000 1.1000 17.6000 91.0000 0.0000 
59287 2016 1 3 3 1012.8000 1021.3000 110.0000 0.9000 20.4000 80.0000 0.0000 
59287 2016 1 3 6 1009.6000 1018.0000 110.0000 0.9000 23.1000 71.0000 0.0000 
59287 2016 1 3 9 1009.7000 1018.2000 146.0000 1.8000 21.5000 77.0000 0.0000 
59287 2016 1 3 12 1011.3000 1019.8000 102.0000 1.2000 20.1000 84.0000 0.0000 
59287 2016 1 3 15 1011.2000 1019.7000 118.0000 1.3000 19.6000 88.0000 0.0000 
59287 2016 1 3 18 1010.4000 1018.8000 68.0000 1.5000 19.3000 90.0000 0.0000 
59287 2016 1 3 21 1010.4000 1018.8000 286.0000 0.5000 19.0000 91.0000 0.0000 
59287 2016 1 4 0 1012.0000 1020.5000 49.0000 0.7000 19.2000 92.0000 0.0000 
59287 2016 1 4 3 1012.5000 1021.0000 135.0000 1.2000 21.3000 83.0000 0.0000 
59287 2016 1 4 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 4 6 1009.0000 1017.4000 68.0000 0.6000 23.6000 72.0000 0.0000 
59287 2016 1 4 6 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 4 9 1008.4000 1016.8000 128.0000 1.7000 22.6000 76.0000 0.0000 
59287 2016 1 4 12 1009.4000 1017.8000 320.0000 1.1000 20.9000 87.0000 0.0000 
59287 2016 1 4 15 1009.9000 1018.3000 999017.0000 0.2000 20.6000 90.0000 0.0000 
59287 2016 1 4 18 1008.2000 1016.6000 38.0000 0.8000 20.2000 93.0000 0.0000 
59287 2016 1 4 21 1006.3000 1014.7000 112.0000 1.9000 20.1000 93.0000 3.5000 
59287 2016 1 5 0 1008.6000 1017.0000 3.0000 2.5000 19.4000 94.0000 23.1000 
59287 2016 1 5 3 1009.0000 1017.4000 22.0000 1.4000 19.3000 94.0000 27.6000 
59287 2016 1 5 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 5 6 1006.1000 1014.5000 39.0000 1.3000 19.9000 93.0000 1.1000 
59287 2016 1 5 9 1005.7000 1014.1000 92.0000 1.6000 21.4000 83.0000 0.0000 
59287 2016 1 5 12 1007.5000 1016.0000 320.0000 1.1000 18.5000 92.0000 0.0000 
59287 2016 1 5 15 1009.2000 1017.7000 302.0000 1.1000 17.9000 94.0000 0.0000 
59287 2016 1 5 18 1008.8000 1017.3000 341.0000 2.0000 16.2000 94.0000 0.0000 
59287 2016 1 5 21 1009.5000 1018.0000 275.0000 1.4000 16.3000 94.0000 0.0000 
59287 2016 1 6 0 1011.8000 1020.3000 346.0000 1.5000 16.5000 94.0000 0.0000 
59287 2016 1 6 3 1013.0000 1021.5000 359.0000 4.0000 20.0000 77.0000 0.0000 
59287 2016 1 6 6 1010.1000 1018.6000 25.0000 3.1000 21.9000 67.0000 0.0000 
59287 2016 1 6 6 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 6 9 1011.3000 1019.8000 355.0000 4.2000 19.7000 70.0000 0.0000 
59287 2016 1 6 9 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 6 12 1013.3000 1021.9000 7.0000 4.0000 17.8000 70.0000 0.0000 
59287 2016 1 6 12 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 6 15 1014.4000 1022.9000 356.0000 1.2000 16.2000 75.0000 0.0000 
59287 2016 1 6 15 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 6 18 1013.9000 1022.4000 337.0000 2.2000 13.8000 82.0000 0.0000 
59287 2016 1 6 18 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 6 21 1014.1000 1022.7000 354.0000 0.8000 14.0000 77.0000 0.0000 
59287 2016 1 6 21 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 7 0 1015.8000 1024.4000 5.0000 2.1000 13.9000 77.0000 0.0000 
59287 2016 1 7 0 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 7 3 1016.9000 1025.5000 31.0000 3.1000 18.1000 62.0000 0.0000 
59287 2016 1 7 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 7 6 1013.0000 1021.6000 344.0000 1.1000 19.7000 58.0000 0.0000 
59287 2016 1 7 6 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 7 9 1011.6000 1020.2000 49.0000 2.0000 19.2000 62.0000 0.0000 
59287 2016 1 7 9 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 7 12 1013.4000 1022.1000 340.0000 2.4000 14.5000 90.0000 0.0000 
59287 2016 1 7 12 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 7 15 1014.5000 1023.1000 346.0000 1.9000 15.7000 86.0000 0.0000 
59287 2016 1 7 15 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 7 18 1013.3000 1021.9000 338.0000 1.7000 13.8000 89.0000 0.0000 
59287 2016 1 7 18 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 7 21 1012.6000 1021.2000 103.0000 1.9000 15.0000 79.0000 0.0000 
59287 2016 1 7 21 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 8 0 1014.8000 1023.5000 31.0000 2.1000 14.6000 85.0000 0.0000 
59287 2016 1 8 0 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 8 3 1015.2000 1023.8000 348.0000 2.5000 17.7000 67.0000 0.0000 
59287 2016 1 8 3 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 8 6 1011.7000 1020.3000 19.0000 2.2000 19.1000 62.0000 0.0000 
59287 2016 1 8 6 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 8 9 1010.8000 1019.4000 9.0000 2.1000 18.5000 63.0000 0.0000 
59287 2016 1 8 9 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 8 12 1012.5000 1021.1000 6.0000 1.9000 14.2000 82.0000 0.0000 
59287 2016 1 8 12 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
59287 2016 1 8 15 1013.2000 1021.8000 10.0000 2.7000 13.5000 82.0000 0.0000 
59287 2016 1 8 15 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 999999.0000 
